TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.calculator.HistoryEntry,BRANCH,1.0,4,4
com.example.calculator.NumberFormatUtil,BRANCH,0.5,6,3
com.example.calculator.CalculatorApp,BRANCH,0.7701149425287356,87,67
com.example.calculator.CalculatorEngine,BRANCH,0.41025641025641024,117,48
com.example.calculator.CommandResult,BRANCH,1.0,6,6
com.example.calculator.CalculatorException,BRANCH,1.0,2,2
com.example.calculator.BuiltinFunctionCatalog,BRANCH,0.038461538461538464,52,2
com.example.calculator.CalculatorMath,BRANCH,0.9855072463768116,69,68
com.example.calculator.FunctionDefinition,BRANCH,1.0,6,6
com.example.calculator.StatementSplitter,BRANCH,1.0,16,16
com.example.calculator.CalculatorState,BRANCH,1.0,20,20
com.example.calculator.CalculatorCommandProcessor,BRANCH,0.89375,160,143
com.example.calculator.ExpressionParser,BRANCH,0.8388888888888889,180,151
